Date,Starter,Contributor,Patron
2017-12-03,1,0,0
2017-12-04,9,7,0
2017-12-05,23,26,0
2017-12-06,35,43,0
2017-12-07,37,45,0
2017-12-08,39,52,1
2017-12-09,46,58,1
2017-12-10,50,62,2
2017-12-11,54,69,3
2017-12-12,57,74,3
2017-12-13,61,79,3
2017-12-14,63,80,3
2017-12-15,64,80,3
2017-12-17,64,82,3
2017-12-19,65,84,3
2017-12-20,66,84,3
2017-12-21,67,85,3
2017-12-22,68,86,3
2017-12-23,70,86,3
2017-12-27,71,86,3
2017-12-29,71,87,3
2018-01-02,72,88,4
2018-01-03,73,89,4
2018-01-07,73,90,4
2018-01-09,74,93,4
2018-01-10,74,94,4
2018-01-11,75,94,4
2018-01-12,76,95,4
2018-01-13,78,96,4
2018-01-14,79,96,4
2018-01-15,80,98,4
2018-01-16,80,99,4
2018-01-17,81,100,4
2018-01-19,81,101,4
2018-01-21,82,101,4
2018-01-24,82,102,4
2018-01-28,82,103,4
2018-01-29,84,103,4
2018-01-30,84,104,4
2018-01-31,84,105,4
2018-02-01,84,106,4
2018-02-06,84,107,4
2018-02-08,85,107,4
2018-02-18,85,107,5
2018-02-20,95,107,5
2018-02-21,96,107,5
2018-02-22,97,107,5
2018-02-23,97,108,5
2018-02-25,98,108,5
2018-02-26,102,109,5
2018-02-27,103,109,5
2018-03-01,104,109,5
2018-03-04,104,110,5
2018-03-05,105,110,5
2018-03-06,106,110,5
2018-03-07,107,110,5
2018-03-08,107,112,5
2018-03-09,108,112,5
2018-03-12,111,112,5
2018-03-14,112,112,5
2018-03-15,112,113,5
2018-03-16,113,113,5
2018-03-21,113,117,5
2018-03-22,114,117,5
2018-03-23,114,118,5
2018-03-24,121,118,5
2018-03-25,122,118,5
2018-03-27,123,118,5
2018-03-28,124,118,5
2018-03-29,127,119,5
2018-03-31,127,120,5
2018-04-02,128,120,5
2018-04-03,131,121,5
2018-04-04,135,121,5
2018-04-06,136,121,5
2018-04-07,136,122,5
2018-04-11,137,122,5
2018-04-12,139,122,5
2018-04-13,140,122,5
2018-04-16,141,123,5
2018-04-17,141,124,5
2018-04-19,142,124,5
2018-04-22,143,124,5
2018-04-23,145,124,5
2018-04-24,147,126,5
2018-04-25,148,126,5
2018-04-26,152,126,5
2018-04-30,153,127,5
2018-05-02,155,128,5
2018-05-03,156,128,5
2018-05-08,157,128,5
2018-05-12,158,128,5
2018-05-15,159,128,5
2018-05-18,166,128,5
2018-05-19,168,128,5
2018-05-20,169,128,5
2018-05-21,170,128,5
2018-05-22,171,128,5
2018-05-23,174,130,5
2018-05-24,176,130,5
2018-05-25,179,130,5
2018-05-29,182,130,5
2018-05-30,182,131,5
2018-05-31,183,132,5
2018-06-01,187,132,5
2018-06-03,189,132,5
2018-06-04,190,132,5
2018-06-05,195,132,5
2018-06-06,198,132,5
2018-06-07,200,132,5
2018-06-08,202,133,5
2018-06-09,205,134,5
2018-06-10,205,135,5
2018-06-11,207,135,5
2018-06-12,209,135,5
